beam,family,order,regime,metric,psd_a,psd_b,difference_a_minus_b,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
LG02,LG,2,strong,entropy,von_karman,kolmogorov,-0.007143659093305277,-1.0804166698042559,-0.008963054132311132,-0.005322751488591501,True
LG02,LG,2,strong,retention,modified_von_karman,von_karman,0.0026458686514315086,6.876663906257891,0.0015204239440861588,0.0037908612276378695,True
LG02,LG,2,strong,spread,modified_von_karman,von_karman,-3.6380622715618625,-20.708834132560856,-3.7791754991211532,-3.495845072611946,True
LG02,LG,2,strong,entropy,modified_von_karman,von_karman,-0.023811564163237042,-3.640627134076019,-0.025686794899548376,-0.02199969904428639,True
LG02,LG,2,strong,retention,modified_von_karman,kolmogorov,0.004463651209676546,12.17638340837771,0.0033401965653470345,0.005585403261344925,True
LG02,LG,2,strong,spread,modified_von_karman,kolmogorov,-4.298427268071981,-23.581391377263277,-4.45047527808387,-4.1487762294573365,True
LG02,LG,2,strong,entropy,modified_von_karman,kolmogorov,-0.03095522325654232,-4.681709861438301,-0.03288832212888286,-0.029046984078318405,True
LG03,LG,3,weak,retention,von_karman,kolmogorov,0.05100574822701731,9.66533468330698,0.03536434359998433,0.0674542517708187,True
LG03,LG,3,weak,spread,von_karman,kolmogorov,-0.04493523257137766,-2.493159107949849,-0.05666857228580172,-0.03307166284621938,True
LG03,LG,3,weak,entropy,von_karman,kolmogorov,-0.01322128268158998,-6.246606737189166,-0.01735183877872716,-0.009108877562967795,True
LG03,LG,3,weak,retention,modified_von_karman,von_karman,0.008081156563040093,1.3963745556957465,-0.006981431532544921,0.023318384998557488,False
LG03,LG,3,weak,spread,modified_von_karman,von_karman,-0.3156483974999973,-17.961040993771466,-0.32787708325975634,-0.30364095016714604,True
LG03,LG,3,weak,entropy,modified_von_karman,von_karman,-0.0037799261899176817,-1.904876826838385,-0.007745981609475898,0.00019136482541433372,False
LG03,LG,3,weak,retention,modified_von_karman,kolmogorov,0.059086904790057404,11.196673513243262,0.04323897331582585,0.07448324692184018,True
LG03,LG,3,weak,spread,modified_von_karman,kolmogorov,-0.36058363007137495,-20.006402772302497,-0.37372236096775147,-0.3473155997308339,True
LG03,LG,3,weak,entropy,modified_von_karman,kolmogorov,-0.01700120887150766,-8.03249339982711,-0.02106671392566702,-0.012910901542312864,True
LG03,LG,3,moderate,retention,von_karman,kolmogorov,0.013579970920192794,11.411876047562119,0.006955390318661547,0.020288403493044466,True
LG03,LG,3,moderate,spread,von_karman,kolmogorov,-0.15542253294684283,-2.6955139156929433,-0.19369883172667138,-0.11644117234766396,True
LG03,LG,3,moderate,entropy,von_karman,kolmogorov,-0.010318132119038648,-2.344069541173278,-0.013144077080246383,-0.007606355264947338,True
LG03,LG,3,moderate,retention,modified_von_karman,von_karman,0.003809173275057698,2.873144358364094,-0.0031493451106300047,0.010791757621462528,False
LG03,LG,3,moderate,spread,modified_von_karman,von_karman,-1.028549548281049,-18.33242640937038,-1.0668381956644968,-0.9904781412346747,True
LG03,LG,3,moderate,entropy,modified_von_karman,von_karman,-0.008207722331349365,-1.9093847105948252,-0.010807293704874606,-0.005506674466132499,True
LG03,LG,3,moderate,retention,modified_von_karman,kolmogorov,0.01738914419525049,14.612900078770247,0.010502194485346287,0.023930712116431788,True
LG03,LG,3,moderate,spread,modified_von_karman,kolmogorov,-1.1839720812278918,-20.533787220114576,-1.22695153421219,-1.14224907953549,True
LG03,LG,3,moderate,entropy,modified_von_karman,kolmogorov,-0.018525854450388013,-4.20869694634323,-0.021200476057905093,-0.01580275894733851,True
LG03,LG,3,strong,retention,von_karman,kolmogorov,0.0016587485186445733,5.376406314169067,0.0007872685066497668,0.0025327895308480193,True
LG03,LG,3,strong,spread,von_karman,kolmogorov,-0.7853399097621079,-3.8976929391787247,-0.9366544458288787,-0.6332521250503745,True
LG03,LG,3,strong,entropy,von_karman,kolmogorov,-0.007806843659910134,-1.1439107180421446,-0.009492786113097448,-0.006141127683256508,True
LG03,LG,3,strong,retention,modified_von_karman,von_karman,0.001797215107364511,5.528002254035625,0.000880391862655136,0.0027206179837305122,True
LG03,LG,3,strong,spread,modified_von_karman,von_karman,-3.7755511259101766,-19.498288685142576,-3.918160399982481,-3.63548693696982,True
LG03,LG,3,strong,entropy,modified_von_karman,von_karman,-0.023010680661117222,-3.4106934441581847,-0.024657567144160092,-0.02135701624757598,True
LG03,LG,3,strong,retention,modified_von_karman,kolmogorov,0.0034559636260090842,11.201616430438072,0.002522587550168688,0.004395777300961824,True
LG03,LG,3,strong,spread,modified_von_karman,kolmogorov,-4.5608910356722845,-22.635998202979817,-4.7195464243939025,-4.4020878447879435,True
