family,psd,regime,metric,order_a,order_b,difference_a_minus_b,ci95_lower,ci95_upper,ci_excludes_zero
LG,modified_von_karman,weak,spread,2,1,0.22557488948602322,0.21476123282561985,0.23629640021758289,True
LG,modified_von_karman,weak,entropy,2,1,0.02728775706479475,0.023581400764775856,0.031135563760024257,True
LG,modified_von_karman,weak,retention,3,2,-0.061722621323799576,-0.07640296495949421,-0.04744376187807492,True
LG,modified_von_karman,weak,spread,3,2,0.1975880536129595,0.18510036384922293,0.20976240388931086,True
LG,modified_von_karman,weak,entropy,3,2,0.020016051791427514,0.016050550488262132,0.023719261375283133,True
LG,modified_von_karman,moderate,retention,2,1,-0.05632360954728266,-0.06573501528356664,-0.04643779662793145,True
LG,modified_von_karman,moderate,spread,2,1,0.7069741537758709,0.6710330203129623,0.7431375358440235,True
LG,modified_von_karman,moderate,entropy,2,1,0.03469229122909595,0.0316291585567232,0.03774881401916708,True
LG,modified_von_karman,moderate,retention,3,2,-0.028200819336239913,-0.03593190403816728,-0.020370164765617364,True
LG,modified_von_karman,moderate,spread,3,2,0.6069562703201408,0.5669686521137772,0.6472811340566413,True
LG,modified_von_karman,moderate,entropy,3,2,0.024108346190071073,0.02145498398282358,0.026867281502722766,True
LG,modified_von_karman,strong,retention,2,1,-0.013252359413717496,-0.01482474050073339,-0.011769702706598223,True
LG,modified_von_karman,strong,spread,2,1,1.987575185943955,1.8471980445818397,2.127734214862574,True
LG,modified_von_karman,strong,entropy,2,1,0.030416571525002656,0.028382405546932842,0.032432572091287325,True
LG,modified_von_karman,strong,retention,3,2,-0.0068135898013547275,-0.00793319653519693,-0.005712952923411852,True
LG,modified_von_karman,strong,spread,3,2,1.6583284256239654,1.5085963766463706,1.804577685252572,True
LG,modified_von_karman,strong,entropy,3,2,0.021412541680460362,0.019606404948901212,0.023243128110016307,True
BG,kolmogorov,weak,retention,2,1,-0.09174124340475598,-0.1062400031502278,-0.0773079263150291,True
BG,kolmogorov,weak,spread,2,1,0.2682764493795926,0.2569141427968457,0.27976356301784955,True
BG,kolmogorov,weak,entropy,2,1,0.030314773604185163,0.026082384631797795,0.034565159532596534,True
BG,kolmogorov,weak,retention,3,2,-0.061836535898192824,-0.07784820776490693,-0.046030632605817065,True
BG,kolmogorov,weak,spread,3,2,0.22379305654505832,0.2111659309884906,0.2360680053635163,True
BG,kolmogorov,weak,entropy,3,2,0.019640648685937567,0.015447868853066489,0.023743188239037625,True
BG,kolmogorov,moderate,retention,2,1,-0.05188868726325463,-0.06037719136248795,-0.04353521581729773,True
BG,kolmogorov,moderate,spread,2,1,0.8408411750224865,0.8049185425902989,0.8771092108923163,True
BG,kolmogorov,moderate,entropy,2,1,0.034772089356561564,0.031639609626235,0.03792797869196524,True
BG,kolmogorov,moderate,retention,3,2,-0.027492400131461245,-0.034196471244101856,-0.021138419167686388,True
BG,kolmogorov,moderate,spread,3,2,0.7197770874822877,0.6782743595658338,0.7620096881891324,True
BG,kolmogorov,moderate,entropy,3,2,0.024116695539262045,0.02127867283876065,0.026852823518253906,True
BG,kolmogorov,strong,retention,2,1,-0.011109754040336324,-0.01239169717792331,-0.009840730048942163,True
BG,kolmogorov,strong,spread,2,1,2.168365433630143,2.014558127470925,2.327872180433055,True
BG,kolmogorov,strong,entropy,2,1,0.029296385185309415,0.027226250574505544,0.03131447578595398,True
BG,kolmogorov,strong,retention,3,2,-0.0059616171079957155,-0.0068824279505710455,-0.0050625493061662126,True
BG,kolmogorov,strong,spread,3,2,1.961118137197186,1.7980421109202989,2.126983883667016,True
BG,kolmogorov,strong,entropy,3,2,0.021682411679835423,0.019781412685094608,0.02358018706449249,True
BG,von_karman,weak,retention,2,1,-0.07445677209799961,-0.08706565282940958,-0.06179991824385415,True
BG,von_karman,weak,spread,2,1,0.25842051362760765,0.24979101812890722,0.26732703525210405,True
BG,von_karman,weak,entropy,2,1,0.026698995254073044,0.02276044100998537,0.030527010898154662,True
BG,von_karman,weak,retention,3,2,-0.05883225995919339,-0.0739447735423505,-0.04371710422186874,True
BG,von_karman,weak,spread,3,2,0.22277354146576234,0.21280252994494706,0.2329307346928282,True
BG,von_karman,weak,entropy,3,2,0.02031965431202834,0.01623433930606561,0.024405639324403053,True
