order,psd,regime,metric,difference_BG_minus_LG,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
3,kolmogorov,weak,retention,-0.011389748759200624,-2.1583005355883196,-0.027886210767425392,0.004645886124069975,False
3,kolmogorov,weak,spread,0.005356036800969077,0.297171087556724,-0.0073441326894567085,0.018455517496852245,False
3,kolmogorov,weak,entropy,0.001922497435756343,0.9083147016549733,-0.0021508467367579494,0.0060966502948683445,False
3,kolmogorov,moderate,retention,-0.006301045598013477,-5.2950593014632075,-0.012464214977348715,-0.00033827099805379423,True
3,kolmogorov,moderate,spread,0.035573166646879706,0.6169502188895843,-0.007718940686736062,0.07897514944008202,False
3,kolmogorov,moderate,entropy,0.0019053197982441539,0.4328498660157356,-0.0007801663259696638,0.004625580041939161,False
3,kolmogorov,strong,retention,-0.001015048893476849,-3.2900196857680615,-0.001835698054685726,-0.00019016115528417343,True
3,kolmogorov,strong,spread,0.05999586046569405,0.29776334910564173,-0.11094647197177315,0.22605476109143963,False
3,kolmogorov,strong,entropy,0.0008531520807905091,0.12500952393191067,-0.0008996691619998045,0.00260448378641695,False
3,von_karman,weak,retention,0.007814037615719638,1.3502180311348368,-0.007259828501343045,0.023153737372535847,False
3,von_karman,weak,spread,-0.0004031206969452583,-0.02293839417724771,-0.010989801708720374,0.010781487389086509,False
3,von_karman,weak,entropy,-0.0019239312556913746,-0.9695565154610565,-0.005846669467314755,0.0021029975776742328,False
3,von_karman,moderate,retention,-0.002812358268232673,-2.121276904093822,-0.009713205511018563,0.004110208011076314,False
3,von_karman,moderate,spread,0.007960211093439362,0.1418793915348216,-0.027130598751453468,0.042418175833622784,False
3,von_karman,moderate,entropy,-6.463895484332127e-05,-0.015037135407866116,-0.002582756854250156,0.002500082355929679,False
3,von_karman,strong,retention,-0.00012060530267123115,-0.3709663814215831,-0.0010079066309517416,0.0007639154306507048,False
3,von_karman,strong,spread,0.024815177148852285,0.1281543996320887,-0.11374267223292865,0.1632312931478438,False
3,von_karman,strong,entropy,0.0003861269846189286,0.05723258666040722,-0.001162153119493092,0.0019757002373047136,False
3,modified_von_karman,weak,retention,-0.006152690802199712,-1.0485063606266838,-0.02185105824248858,0.009862221663389811,False
3,modified_von_karman,weak,spread,0.0011978303640884924,0.08308126341665488,-0.011833213635285167,0.014321757554738959,False
3,modified_von_karman,weak,entropy,0.0021547635614830862,1.1069698310320137,-0.0018296455921553245,0.006229692679712724,False
3,modified_von_karman,moderate,retention,-0.003961638462763706,-2.904688355158458,-0.0108475387618138,0.003334458780664709,False
3,modified_von_karman,moderate,spread,0.01212317637553273,0.2645827362916947,-0.02959925122352604,0.05176806059459352,False
3,modified_von_karman,moderate,entropy,0.0002936483893619668,0.06964195420748186,-0.002377640525290553,0.0029585627387873994,False
3,modified_von_karman,strong,retention,-0.00021969463747312235,-0.6403536518466313,-0.001178674421207747,0.0007412909329571334,False
3,modified_von_karman,strong,spread,0.11299408983404291,0.7248810660207351,-0.033236931689512576,0.2619839657470864,False
3,modified_von_karman,strong,entropy,0.0014802062874900157,0.22714669256681122,-0.00027271476803506775,0.003187766377645056,False
