beam,family,order,regime,metric,psd,reference_psd,relative_difference_percent,ci95_lower_percent,ci95_upper_percent,ci_excludes_zero
LG03,LG,3,moderate,retention,modified_von_karman,kolmogorov,14.612900078770247,8.534740281873312,20.714994263796893,True
LG03,LG,3,moderate,spread,von_karman,kolmogorov,-2.6955139156929433,-3.3563781939333905,-2.0071559655523017,True
LG03,LG,3,moderate,spread,modified_von_karman,kolmogorov,-20.533787220114576,-21.175326299240147,-19.884180212467168,True
BG01,BG,1,moderate,retention,von_karman,kolmogorov,12.416802031769816,7.137075518219148,18.036445514722274,True
BG01,BG,1,moderate,retention,modified_von_karman,kolmogorov,9.74801234609906,4.693940659158724,15.115373387052786,True
BG01,BG,1,moderate,spread,von_karman,kolmogorov,-2.632950767835527,-3.341097141916939,-1.9125423942099624,True
BG01,BG,1,moderate,spread,modified_von_karman,kolmogorov,-22.723748412537006,-23.422844301476946,-22.020899539482176,True
BG02,BG,2,moderate,retention,von_karman,kolmogorov,14.221696812601468,8.393971473502303,20.167634810884273,True
BG02,BG,2,moderate,retention,modified_von_karman,kolmogorov,16.692002205774017,10.810735755956385,22.92867241928755,True
BG02,BG,2,moderate,spread,von_karman,kolmogorov,-3.255201191729165,-3.9505775397473264,-2.5552278915951763,True
BG02,BG,2,moderate,spread,modified_von_karman,kolmogorov,-21.851156758157323,-22.534678847203445,-21.18038584410877,True
BG03,BG,3,moderate,retention,von_karman,kolmogorov,15.145546629577654,9.157135954523591,21.489968478893598,True
BG03,BG,3,moderate,retention,modified_von_karman,kolmogorov,17.505751754715117,11.424284983987894,23.888257104197702,True
BG03,BG,3,moderate,spread,von_karman,kolmogorov,-3.154944683658352,-3.8291341544794375,-2.467753672673525,True
BG03,BG,3,moderate,spread,modified_von_karman,kolmogorov,-20.812083364928352,-21.455571375847814,-20.140792918170234,True
LG01,LG,1,strong,retention,von_karman,kolmogorov,11.255787522991653,7.924080533886668,14.576728340859608,True
LG01,LG,1,strong,retention,modified_von_karman,kolmogorov,18.035637756849074,14.511585885207037,21.713485926087355,True
LG01,LG,1,strong,spread,von_karman,kolmogorov,-4.937784250873684,-5.7502116384246875,-4.122088136760208,True
LG01,LG,1,strong,spread,modified_von_karman,kolmogorov,-26.17784065386151,-26.949016474041617,-25.417483877122795,True
LG02,LG,2,strong,retention,von_karman,kolmogorov,4.958724672364618,2.017669614453285,8.008077929958565,True
LG02,LG,2,strong,retention,modified_von_karman,kolmogorov,12.17638340837771,8.92932001235031,15.536030536032964,True
LG02,LG,2,strong,spread,von_karman,kolmogorov,-3.62279607479203,-4.416413266293662,-2.844038176604213,True
LG02,LG,2,strong,spread,modified_von_karman,kolmogorov,-23.581391377263277,-24.302910281951768,-22.81556914148878,True
LG03,LG,3,strong,retention,von_karman,kolmogorov,5.376406314169067,2.45550249393617,8.20975193826698,True
LG03,LG,3,strong,retention,modified_von_karman,kolmogorov,11.201616430438072,8.110977913556415,14.458424630889825,True
LG03,LG,3,strong,spread,von_karman,kolmogorov,-3.8976929391787247,-4.622760049846169,-3.1487388824831832,True
LG03,LG,3,strong,spread,modified_von_karman,kolmogorov,-22.635998202979817,-23.33908872734229,-21.944813677145742,True
BG01,BG,1,strong,retention,von_karman,kolmogorov,5.9794509078703895,2.743715302088017,9.209023288661783,True
BG01,BG,1,strong,retention,modified_von_karman,kolmogorov,12.286100308084896,8.878293009270436,15.826857023095394,True
BG01,BG,1,strong,spread,von_karman,kolmogorov,-3.8716031282154977,-4.701139786433079,-3.0376019399787317,True
BG01,BG,1,strong,spread,modified_von_karman,kolmogorov,-25.402547223179756,-26.17172925793775,-24.637130789228518,True
BG02,BG,2,strong,retention,von_karman,kolmogorov,7.171522208698345,4.305751478248149,10.252303575316823,True
BG02,BG,2,strong,retention,modified_von_karman,kolmogorov,14.307824277898366,11.11342290864391,17.56106096585634,True
BG02,BG,2,strong,spread,von_karman,kolmogorov,-3.798031721081893,-4.5756342882207734,-3.036603499228086,True
BG02,BG,2,strong,spread,modified_von_karman,kolmogorov,-23.810479689182923,-24.54862180968981,-23.047269901853795,True
BG03,BG,3,strong,retention,von_karman,kolmogorov,8.557043369952499,5.644475235337405,11.50650305017656,True
BG03,BG,3,strong,retention,modified_von_karman,kolmogorov,14.248325208741178,11.046515547445845,17.484522988495918,True
BG03,BG,3,strong,spread,von_karman,kolmogorov,-4.060207144862814,-4.79836883044682,-3.3123180969543786,True
BG03,BG,3,strong,spread,modified_von_karman,kolmogorov,-22.306543839137785,-23.005619477467942,-21.611494873370404,True
