beam,family,order,psd,regime,signed_asymmetry,signed_ci95_lower,signed_ci95_upper,signed_ci_excludes_zero,absolute_asymmetry,absolute_ci95_lower,absolute_ci95_upper
LG03,LG,3,von_karman,moderate,-0.0053184319559611195,-0.011125357307992334,0.00023988168550127283,False,0.007926658553208774,0.0048869789272311176,0.016798122456913967
LG03,LG,3,von_karman,strong,-0.02839352085404643,-0.032896613272556004,-0.023888493590007283,True,0.03234334499614128,0.02844642682275568,0.03692044905505007
LG03,LG,3,modified_von_karman,weak,0.0004800637160156234,-0.0017460507262301126,0.0027222214141280647,False,0.0011146248200325528,0.0008652567808398008,0.00626170872119721
LG03,LG,3,modified_von_karman,moderate,-0.00918746989576673,-0.014717369868954118,-0.0035256870106236677,True,0.010351667332409638,0.006803355533912172,0.018971181957914973
LG03,LG,3,modified_von_karman,strong,-0.030223204026787187,-0.035235672724786504,-0.0251654653938776,True,0.03710354593342005,0.03278671557664518,0.04206813659783123
BG01,BG,1,kolmogorov,weak,-0.0014845482725555682,-0.0030984826822781485,8.990146217155184e-05,False,0.004648317585278948,0.0014070960901636453,0.008157234386868193
BG01,BG,1,kolmogorov,moderate,-0.007702315728203562,-0.013637926249833041,-0.0020248577450347784,True,0.011673505394008214,0.00581747491154372,0.019830664272848655
BG01,BG,1,kolmogorov,strong,-0.027581680303059967,-0.03517660638267368,-0.02000877569981705,True,0.03338855035550246,0.028767978802714676,0.039278954106308564
BG01,BG,1,von_karman,weak,0.00038175325494275135,-0.0009974898566091164,0.0017282359158259655,False,0.001993899682115816,0.000585617940719886,0.004849590100748556
BG01,BG,1,von_karman,moderate,-0.006389422458561462,-0.011715921642528082,-0.0010144380850144795,True,0.010764028096721433,0.0054492313717689755,0.018290175374722394
BG01,BG,1,von_karman,strong,-0.020129088782995165,-0.02686953581575776,-0.01355610482654619,True,0.03172945241417495,0.028136440677944446,0.03734716447800021
BG01,BG,1,modified_von_karman,weak,0.00013813032155659275,-0.001194111598474336,0.0014672912195485789,False,0.0018596993047728524,0.0005938087365377401,0.004847664117187842
BG01,BG,1,modified_von_karman,moderate,-0.006938329833440923,-0.012538983822996685,-0.001428055562947409,True,0.008596503236401832,0.004989413792509657,0.017633623479097853
BG01,BG,1,modified_von_karman,strong,-0.029095729683527135,-0.03648734990953106,-0.02197625529658078,True,0.03515153650559291,0.030165694797306696,0.0414067967187971
BG02,BG,2,kolmogorov,weak,-0.0007873201579019803,-0.0028788186352143893,0.0012659090086927524,False,0.0013668707490015726,0.0008856436129473648,0.00564785254303899
BG02,BG,2,kolmogorov,moderate,-0.005441599454707036,-0.011225498021724702,0.000301281164750121,False,0.011020220171774201,0.00639609141505064,0.020395659827139954
BG02,BG,2,kolmogorov,strong,-0.02984931477557143,-0.03554078285164679,-0.024065587803686755,True,0.03220110959484359,0.028228400866693582,0.03752601101065721
BG02,BG,2,von_karman,weak,-0.0020346921562110092,-0.0036888649817333986,-0.0003542017194578567,True,0.0023090780789971296,0.0011078797833999334,0.006092443259730068
BG02,BG,2,von_karman,moderate,-0.008241981192574932,-0.01386123150277662,-0.0025457108975472254,True,0.012645156336679288,0.00662857473949113,0.021732810975048276
BG02,BG,2,von_karman,strong,-0.03328456322163463,-0.038593679209641706,-0.02818548893213473,True,0.03468609459556368,0.030726986437640658,0.03960896482798603
BG02,BG,2,modified_von_karman,weak,0.0008741480383390361,-0.0008477875141924376,0.0027099970258571476,False,0.0030477805186354574,0.0006672291409839618,0.007351648211287094
BG02,BG,2,modified_von_karman,moderate,-0.004579896545260397,-0.010318897719614889,0.0011466069503366597,False,0.006415850860000425,0.004216385880494811,0.015765895326348235
BG02,BG,2,modified_von_karman,strong,-0.027230455944548176,-0.03283368571210351,-0.021633330715406338,True,0.036311991790900236,0.031861955851798275,0.04182010859259674
BG03,BG,3,kolmogorov,weak,-0.0019506923539484252,-0.004449733878174677,0.000584216728513805,False,0.004001152894706821,0.001295875423249077,0.009732048660657374
BG03,BG,3,kolmogorov,moderate,-0.002137319698393911,-0.007639152932327541,0.0036955185974882733,False,0.010231099755831004,0.007081390760970838,0.01843602375721124
BG03,BG,3,kolmogorov,strong,-0.031207017028585957,-0.03635526658510914,-0.02636488105248413,True,0.03653752679266922,0.03224861853378289,0.041353022086535254
BG03,BG,3,von_karman,weak,-0.00015907124691963374,-0.002455462783180071,0.0020996802490138478,False,0.002611134179098477,0.0012997542827352358,0.007571919581495
BG03,BG,3,von_karman,moderate,-0.005606945419475405,-0.011493656361538807,0.00030247869804801887,False,0.010074471936013154,0.006284088452309867,0.019088408508421282
BG03,BG,3,von_karman,strong,-0.025900895945910066,-0.03046546117179321,-0.021376604131130544,True,0.031317639160859216,0.02727502677539373,0.03574430278009853
BG03,BG,3,modified_von_karman,weak,-0.0024321696311384888,-0.0047120068494540136,-0.00017969341795190096,True,0.005589232480830034,0.0014149109380429833,0.010925754877767032
BG03,BG,3,modified_von_karman,moderate,-0.010767298719443413,-0.0167303908595732,-0.00472667078985291,True,0.01674283070324276,0.009271153433273109,0.025526204219583574
BG03,BG,3,modified_von_karman,strong,-0.02638190786438441,-0.0313500150512173,-0.02150541757054216,True,0.03411317639482538,0.029781457578955627,0.039207255338333455
