beam,family,order,psd,regime,n,retention_mean,spread_mean,entropy_mean,beam_wander_m,retention_mean_spectrum,spread_mean_spectrum,entropy_mean_spectrum,entropy_gap,signed_asymmetry,absolute_asymmetry,mean_total_power
BG01,BG,1,kolmogorov,weak,1750,0.6699064169035029,1.315627682233015,0.16362251045384804,0.0020553736600954905,0.6699064169035034,1.3254749358570181,0.18350745091664922,0.019884940462801176,-0.0014845482725555682,0.004648317585278948,1.0000000000000089
BG01,BG,1,kolmogorov,moderate,1750,0.1920786259347928,4.2409252462721305,0.3831968255380861,0.006420514992864418,0.19207862593479272,4.271463345994676,0.4129738630883995,0.029777037550313412,-0.007702315728203562,0.011673505394008214,1.0000000000000089
BG01,BG,1,kolmogorov,strong,1750,0.04690868760293316,16.07935218074547,0.6323440214909913,0.01982703604262935,0.04690868760293321,16.231527044304666,0.6491869974408261,0.01684297594983475,-0.027581680303059967,0.03338855035550246,1.0000000000000082
BG01,BG,1,von_karman,weak,1750,0.7198272042596847,1.275808742995004,0.1494915718048317,0.0017462141848861115,0.7198272042596848,1.2817650493074069,0.16487023714243945,0.015378665337607761,0.00038175325494275135,0.001993899682115816,1.0000000000000089
BG01,BG,1,von_karman,moderate,1750,0.2159286486624597,4.129263772437078,0.371957283171033,0.005616836682712379,0.21592864866245956,4.151309670294057,0.40184052367403095,0.029883240502997954,-0.006389422458561462,0.010764028096721433,1.0000000000000089
BG01,BG,1,von_karman,strong,1750,0.04971356954967683,15.456823478718942,0.62479776590624,0.017453491157926562,0.04971356954967673,15.567127457654754,0.6398462744432467,0.015048508537006677,-0.020129088782995165,0.03172945241417495,1.0000000000000082
BG01,BG,1,modified_von_karman,weak,1750,0.7239215431280803,1.018074822298555,0.1464635522008857,0.0017425364284060945,0.7239215431280804,1.0289551025996977,0.16216403261296714,0.01570048041208144,0.00013813032155659275,0.0018596993047728524,1.0000000000000089
BG01,BG,1,modified_von_karman,moderate,1750,0.21080247410513384,3.277228062945486,0.3643681721393145,0.005528648379719127,0.21080247410513409,3.3146366757254424,0.39404131472783566,0.029673142588521162,-0.006938329833440923,0.008596503236401832,1.0000000000000089
BG01,BG,1,modified_von_karman,strong,1750,0.05267193601503571,11.994787149850218,0.60018963777778,0.01771312489592808,0.052671936015035725,12.158820115832272,0.6176269785462309,0.017437340768450937,-0.029095729683527135,0.03515153650559291,1.0000000000000082
BG02,BG,2,kolmogorov,weak,1750,0.578165173498747,1.5839041316126077,0.1939372840580332,0.0019603436920485537,0.5781651734987476,1.5944084634657063,0.21912916228328705,0.025191878225253844,-0.0007873201579019803,0.0013668707490015726,1.000000000000009
BG02,BG,2,kolmogorov,moderate,1750,0.14018993867153817,5.081766421294617,0.41796891489464766,0.006165983358599192,0.14018993867153837,5.116995744616508,0.4497869674268964,0.03181805253224873,-0.005441599454707036,0.011020220171774201,1.0000000000000089
BG02,BG,2,kolmogorov,strong,1750,0.035798933562596835,18.247717614375613,0.6616404066763008,0.01901863832887115,0.03579893356259689,18.408390082721578,0.6762995194681621,0.014659112791861384,-0.02984931477557143,0.03220110959484359,1.0000000000000082
BG02,BG,2,von_karman,weak,1750,0.6453704321616851,1.5342292566226117,0.17619056705890473,0.001659656516927474,0.6453704321616848,1.5411753938364308,0.19748984331230668,0.021299276253401944,-0.0020346921562110092,0.0023090780789971296,1.000000000000009
BG02,BG,2,von_karman,moderate,1750,0.16012732671117627,4.916344700187742,0.40503736693226483,0.005190457625340059,0.16012732671117627,4.940169763971727,0.4370443237741922,0.03200695684192739,-0.008241981192574932,0.012645156336679288,1.0000000000000089
BG02,BG,2,von_karman,strong,1750,0.03836626203351563,17.55466351100818,0.6542104929996663,0.016123795648180558,0.038366262033515675,17.663445319105318,0.6677722355443722,0.01356174254470588,-0.03328456322163463,0.03468609459556368,1.0000000000000082
BG02,BG,2,modified_von_karman,weak,1750,0.6498898608841126,1.2416729885665845,0.1733200491552296,0.001649589157992639,0.6498898608841132,1.2535972806760856,0.19430245105717014,0.020982401901940534,0.0008741480383390361,0.0030477805186354574,1.000000000000009
