beam,family,order,z_m,r_rms_m,d_4sigma_m,centroid_x_m,centroid_y_m,total_power
BG01,BG,1,625.0,0.025529750839557427,0.07220903976261606,-1.3959289799418382e-16,-1.3655743202889428e-16,1.0
BG01,BG,1,687.5,0.025642008400785867,0.07252655209375243,-2.343745589703106e-16,-2.309263891220325e-16,1.0000000000000002
BG01,BG,1,750.0,0.025764396114671698,0.07287271682344279,-1.7269668275970172e-16,-1.6986412276764898e-16,1.0
BG01,BG,1,812.5,0.02589676988454726,0.07324712638476373,-2.108259847913961e-16,-2.0761170560490419e-16,1.0000000000000004
BG01,BG,1,875.0,0.026038979499259776,0.07364935591641632,-8.279551817489264e-17,-7.882583474838612e-17,1.0
BG01,BG,1,937.5,0.02619086047222611,0.07407894018008714,-4.617568983496006e-16,-4.585221091701896e-16,1.0000000000000002
BG01,BG,1,1000.0,0.02635224933828367,0.07453541682647638,-2.127485235462893e-16,-2.0983215165415462e-16,1.0
BG02,BG,2,0.0,0.030638259024979717,0.0866580828812524,1.180296269511782e-19,0.0,1.0
BG02,BG,2,62.5,0.030644549003934526,0.08667587362834227,-3.0872905036388013e-18,-1.1102230246251566e-18,1.0000000000000002
BG02,BG,2,125.0,0.03066341119922774,0.08672922397314185,-4.796371465412476e-18,-3.3306690738754687e-18,1.0000000000000004
BG02,BG,2,187.5,0.030694822484058196,0.08681806850317944,-1.3880049948266437e-17,-9.992007221626405e-18,1.0000000000000004
BG02,BG,2,250.0,0.030738744236654292,0.08694229797958862,-1.2098213929008725e-17,-9.992007221626405e-18,1.0000000000000004
BG02,BG,2,312.5,0.03079512322604658,0.08710176184245155,-2.1707934971448946e-17,-1.998401444325281e-17,1.0000000000000004
BG02,BG,2,375.0,0.03086389089318009,0.08729626617747749,-4.710825102416469e-17,-4.662936703425656e-17,1.0000000000000004
BG02,BG,2,437.5,0.030944964887412097,0.08752557806187482,-3.346128827233999e-17,-3.1086244689504386e-17,1.0
BG02,BG,2,500.0,0.031038248029496365,0.0877894226312275,-4.064195741609872e-17,-3.663735981263017e-17,1.0000000000000002
BG02,BG,2,562.5,0.031143632319724304,0.08808749441623033,-5.748633917187204e-17,-5.32907051820075e-17,1.0000000000000004
BG02,BG,2,625.0,0.0312609934228635,0.08841944174373938,-7.966074856081648e-17,-7.549516567451063e-17,1.0000000000000004
BG02,BG,2,687.5,0.03139019794496245,0.08878488731868392,-1.2833192611392428e-16,-1.2545520178264265e-16,1.0000000000000004
BG02,BG,2,750.0,0.03153110045683828,0.08918341980521839,-1.7987588228475331e-16,-1.7763568394002498e-16,1.0000000000000004
BG02,BG,2,812.5,0.0316835439348414,0.08961459507339306,-1.2898363114595937e-16,-1.265654248072678e-16,1.0000000000000004
BG02,BG,2,875.0,0.03184736502895323,0.09007795109958455,-1.2698378357816512e-16,-1.2545520178264265e-16,1.0000000000000004
BG02,BG,2,937.5,0.032022385904954494,0.09057298489266337,-4.1551179945856886e-16,-4.130029651605581e-16,1.0000000000000004
BG02,BG,2,1000.0,0.032208424592283985,0.09109918176215828,-1.5712326030107508e-16,-1.543210004228967e-16,1.0000000000000004
BG03,BG,3,0.0,0.03533262501482147,0.09993575498040681,1.486825114534925e-19,0.0,1.0
BG03,BG,3,62.5,0.03533983968325954,0.09995616114431309,-3.3448177095154557e-18,2.2204460492503124e-18,1.0000000000000004
BG03,BG,3,125.0,0.0353614748566852,0.10001735465567882,-5.9291491348782006e-18,-4.440892098500625e-18,1.0000000000000004
BG03,BG,3,187.5,0.035397504148104275,0.10011926088081392,-8.882129536635183e-18,-4.440892098500624e-18,1.0000000000000007
BG03,BG,3,250.0,0.035447883503052134,0.10026175521487565,-1.459448120284525e-17,-1.3322676295501875e-17,1.0000000000000004
BG03,BG,3,312.5,0.035512552170220486,0.10044466582721581,-1.459892209567167e-17,-1.5543122344752184e-17,1.0000000000000007
BG03,BG,3,375.0,0.03559143195133168,0.10066777153970476,-2.541168054239499e-17,-2.2204460492503117e-17,1.0000000000000007
BG03,BG,3,437.5,0.035684428746199745,0.10093080619682404,-2.949915863230393e-17,-2.886579864025406e-17,1.0000000000000004
BG03,BG,3,500.0,0.03579143204832485,0.1012334572389921,-4.997242669468164e-17,-4.662936703425656e-17,1.0000000000000004
BG03,BG,3,562.5,0.03591231787683092,0.10157537399533609,-4.097474878631549e-17,-3.996802888650562e-17,1.0000000000000004
BG03,BG,3,625.0,0.03604694543586959,0.10195615823505942,-5.560061405705341e-17,-5.1070259132757185e-17,1.0000000000000004
BG03,BG,3,687.5,0.03619516143728633,0.10237537639378795,-4.471164685458578e-17,-4.4408920985006233e-17,1.0000000000000007
BG03,BG,3,750.0,0.0363568004927704,0.10283256068273747,-9.017450150477437e-17,-8.659739592076219e-17,1.0000000000000004
BG03,BG,3,812.5,0.03653168317369672,0.10332720360111779,-9.231751330745541e-17,-9.103828801926282e-17,1.0000000000000004
BG03,BG,3,875.0,0.03671962211756042,0.10385877520773804,-1.1177370448426215e-16,-1.110223024625156e-16,1.0000000000000004
BG03,BG,3,937.5,0.03692041621630781,0.10442670668312412,-1.8198730160518247e-16,-1.798561299892753e-16,1.0000000000000004
BG03,BG,3,1000.0,0.03713385599376135,0.1050304055391735,-1.9260737764226526e-16,-1.8873791418627656e-16,1.0000000000000004
