beam,family,order,psd,regime,r_rms_effective,r0_total,r0_screen,eta_total,eta_screen,retention,spread,entropy
BG01,BG,1,kolmogorov,strong,0.025414370920862902,0.0067,0.035362812008713565,3.79318968968103,0.7186750565707467,0.04690868760293316,16.07935218074547,0.6323440214909913
BG01,BG,1,von_karman,weak,0.025414370920862902,0.1066,0.5626381731535621,0.2384087328411154,0.04517000824600378,0.7198272042596847,1.275808742995004,0.1494915718048317
BG01,BG,1,von_karman,moderate,0.025414370920862902,0.0268,0.14145124803485426,0.9482974224202575,0.17966876414268668,0.2159286486624597,4.129263772437078,0.371957283171033
BG01,BG,1,von_karman,strong,0.025414370920862902,0.0067,0.035362812008713565,3.79318968968103,0.7186750565707467,0.04971356954967683,15.456823478718942,0.62479776590624
BG01,BG,1,modified_von_karman,weak,0.025414370920862902,0.1066,0.5626381731535621,0.2384087328411154,0.04517000824600378,0.7239215431280803,1.018074822298555,0.1464635522008857
BG01,BG,1,modified_von_karman,moderate,0.025414370920862902,0.0268,0.14145124803485426,0.9482974224202575,0.17966876414268668,0.21080247410513384,3.277228062945486,0.3643681721393145
BG01,BG,1,modified_von_karman,strong,0.025414370920862902,0.0067,0.035362812008713565,3.79318968968103,0.7186750565707467,0.05267193601503571,11.994787149850218,0.60018963777778
BG02,BG,2,kolmogorov,weak,0.031160730205240714,0.1066,0.5626381731535621,0.2923145422630461,0.05538324929250036,0.578165173498747,1.5839041316126077,0.1939372840580332
BG02,BG,2,kolmogorov,moderate,0.031160730205240714,0.0268,0.14145124803485426,1.1627138136283848,0.2202930736783783,0.14018993867153817,5.081766421294617,0.41796891489464766
BG02,BG,2,kolmogorov,strong,0.031160730205240714,0.0067,0.035362812008713565,4.650855254513539,0.8811722947135132,0.035798933562596835,18.247717614375613,0.6616404066763008
BG02,BG,2,von_karman,weak,0.031160730205240714,0.1066,0.5626381731535621,0.2923145422630461,0.05538324929250036,0.6453704321616851,1.5342292566226117,0.17619056705890473
BG02,BG,2,von_karman,moderate,0.031160730205240714,0.0268,0.14145124803485426,1.1627138136283848,0.2202930736783783,0.16012732671117627,4.916344700187742,0.40503736693226483
BG02,BG,2,von_karman,strong,0.031160730205240714,0.0067,0.035362812008713565,4.650855254513539,0.8811722947135132,0.03836626203351563,17.55466351100818,0.6542104929996663
BG02,BG,2,modified_von_karman,weak,0.031160730205240714,0.1066,0.5626381731535621,0.2923145422630461,0.05538324929250036,0.6498898608841126,1.2416729885665845,0.1733200491552296
BG02,BG,2,modified_von_karman,moderate,0.031160730205240714,0.0268,0.14145124803485426,1.1627138136283848,0.2202930736783783,0.16359044632686456,3.971341674494129,0.3962956968565818
BG02,BG,2,modified_von_karman,strong,0.031160730205240714,0.0067,0.035362812008713565,4.650855254513539,0.8811722947135132,0.04092098207009477,13.902848518065253,0.6298448849846848
BG03,BG,3,kolmogorov,weak,0.03593508938300597,0.1066,0.5626381731535621,0.3371021518105626,0.06386891451319661,0.5163286376005541,1.807697188157666,0.21357793274397077
BG03,BG,3,kolmogorov,moderate,0.03593508938300597,0.0268,0.14145124803485426,1.3408615441420138,0.2540457569815955,0.11269753854007693,5.801543508776905,0.4420856104339097
BG03,BG,3,kolmogorov,strong,0.03593508938300597,0.0067,0.035362812008713565,5.363446176568055,1.016183027926382,0.02983731645460112,20.2088357515728,0.6833228183561362
BG03,BG,3,von_karman,weak,0.03593508938300597,0.1066,0.5626381731535621,0.3371021518105626,0.06386891451319661,0.5865381722024917,1.757002798088374,0.19651022137093307
BG03,BG,3,von_karman,moderate,0.03593508938300597,0.0268,0.14145124803485426,1.3408615441420138,0.2540457569815955,0.12976619679005053,5.6185080202766216,0.4297975195617836
BG03,BG,3,von_karman,strong,0.03593508938300597,0.0067,0.035362812008713565,5.363446176568055,1.016183027926382,0.03239050856405131,19.38831515849385,0.6750489496000545
BG03,BG,3,modified_von_karman,weak,0.03593508938300597,0.1066,0.5626381731535621,0.3371021518105626,0.06386891451319661,0.5806526003476125,1.4429553516494105,0.19680898999818985
BG03,BG,3,modified_von_karman,moderate,0.03593508938300597,0.0268,0.14145124803485426,1.3408615441420138,0.2540457569815955,0.1324260898705772,4.594121437277666,0.4219480845746395
BG03,BG,3,modified_von_karman,strong,0.03593508938300597,0.0067,0.035362812008713565,5.363446176568055,1.016183027926382,0.03408863433661393,15.700942945268864,0.6531323482418083
