parameterization,ell,kr_bg_m-1,w0_bg_m,kr_w0_product,lg_initial_r_rms_m,bg_initial_r_rms_m,initial_matching_error_percent,lg_final_r_rms_m,bg_final_r_rms_m,lg_growth_percent,bg_growth_percent,max_abs_relative_difference_percent,median_relative_difference_percent,lg_kperp_rms_rad_m,bg_kperp_rms_rad_m,kperp_relative_difference_percent,lg_theta_rms_rad,bg_theta_rms_rad,theta_relative_difference_percent
fixed_w0_adjust_kr,11,181.7915318894276,0.04,7.271661275577104,0.06123724356957945,0.0612372432220947,-5.674402194688609e-07,0.06433892472087276,0.06437891831582593,5.065024110317915,5.13033397394626,0.06216080720447205,0.016723519676482168,195.95917942265424,197.24993282687797,0.6586848383559324,1.973568543282681e-05,1.9865681400518462e-05,0.658684838355941
fixed_w0_adjust_kr,12,189.09915945858114,0.04,7.563966378343245,0.06373774391990981,0.06373774462819579,1.1112504584883949e-06,0.06696607599934691,0.06700439764803233,5.065024082894562,5.125146863749346,0.05722546545177964,0.01539664955164309,203.96078054371137,205.19782771515546,0.6065122756180935,2.0541552670837306e-05,2.0666139709388493e-05,0.6065122756181033
fixed_w0_adjust_kr,13,196.13523261187987,0.04,7.845409304475195,0.06614378277661477,0.06614378277971047,4.680264899508974e-09,0.0694939814853466,0.06953082339684293,5.065024357688087,5.120724087421594,0.05301453551641316,0.01426272030133071,211.66010488516721,212.84963465403482,0.5619999902735384,2.131697663258264e-05,2.1436778039184365e-05,0.5619999902735291
fixed_w0_adjust_kr,14,202.92788735516524,0.04,8.11711549420661,0.06846531968814577,0.06846531969266156,6.595734219701999e-09,0.07193310510029098,0.0719686268137162,5.065024786184745,5.116907562516117,0.04938159332298124,0.013285160184066907,219.08902300206645,220.23611469828649,0.5235733312888119,2.2065167105176555e-05,2.2180694435643573e-05,0.5235733312888181
fixed_w0_adjust_kr,15,209.50072784483083,0.04,8.380029113793233,0.07071067811865475,0.0707106787925777,9.530709691342101e-07,0.07429219179866092,0.07432652615477886,5.0650252200895,5.113580330359817,0.046215295694851916,0.012433877560579582,226.2741699796952,227.38305811214525,0.49006394877045334,2.278880659456867e-05,2.290048632004367e-05,0.49006394877044085
fixed_w0_adjust_kr,16,215.87378817948,0.04,8.634951527179199,0.07288689868556626,0.07288689838305758,-4.1503849144902616e-07,0.0765786387288335,0.07661189581689522,5.065025553074202,5.1106543377122335,0.043428674906958675,0.011683081321221974,233.23807579381202,234.3123419797944,0.4605878274060502,2.3490164167794732e-05,2.3598357004589292e-05,0.46058782740604925
fixed_w0_adjust_kr,17,222.06421719471334,0.04,8.882568687788533,0.075,0.07499999994961458,-6.718055741335624e-08,0.07879876930374437,0.07883104521764202,5.0650257383258275,5.108060360801542,0.04095992130693923,0.011019080607701836,239.99999999999997,241.04269133597836,0.43445472332432905,2.4171179517252327e-05,2.4276192348348233e-05,0.43445472332433316
fixed_w0_adjust_kr,18,228.08686040028428,0.04,9.123474416011371,0.0770551750371122,0.07705517487292349,-2.130794175703811e-07,0.08095803951979198,0.08098941583432882,5.065025782888735,5.1057452895195405,0.03875626771961296,0.010426058201073726,246.57656011875906,247.59030594456345,0.4111282213184173,2.4833526247404527e-05,2.4935623882156126e-05,0.4111282213184253
fixed_w0_adjust_kr,19,233.9546495945516,0.04,9.358185983782064,0.07905694150420949,0.07905694137821212,-1.593754614352513e-07,0.0830611959306395,0.08309174395145208,5.065025727331993,5.103666424352638,0.03677772811998558,0.00989375905506127,252.98221281347034,253.9692954586861,0.39017867471321527,2.5478660335775517e-05,2.5578072635008327e-05,0.390178674713215
fixed_w0_adjust_kr,20,239.67893956234104,0.04,9.587157582493642,0.08100925873009826,0.0810092587046625,-3.139858950002245e-08,0.08511239844084646,0.08514218055437632,5.06502562184749,5.101789493940838,0.034991510138862876,0.009413266131156043,259.2296279363144,260.19204506150675,0.37126046619516784,2.6107857804329937e-05,2.6204785958927862e-05,0.37126046619516057
fixed_product_adjust_kr,1,76.45653530571334,0.039237979958213196,3.0,0.025,0.025000000020264312,8.10572442500046e-08,0.02626625659499351,0.026362672249451376,5.065026379974038,5.450688912330078,0.3670704049858506,0.09886772180474591,80.0,83.06782859538649,3.834785744233109,8.05705983908411e-06,8.366030821197639e-06,3.8347857442331206
fixed_product_adjust_kr,2,85.34485692708532,0.03515150306670572,3.0000000000000004,0.03061862178478973,0.030618622075038293,9.479478430024898e-07,0.032169462644449025,0.03219151050340384,5.065025037899324,5.137032047068626,0.06853660938790568,0.01844042235092132,97.97958971132711,98.69092698763953,0.7260055674944156,9.867842716413403e-06,9.939483803926157e-06,0.7260055674944196
fixed_product_adjust_kr,3,91.91068230650336,0.03264038438965791,3.0,0.03535533905932738,0.035355339572282575,1.450856379429477e-06,0.03714609588879252,0.037153277715638984,5.065025190283688,5.085336939504135,0.0193340017964799,0.005201925941824236,113.1370849898476,113.36932749179451,0.20527531000799076,1.1394403297284335e-05,1.1417793193976395e-05,0.20527531000798127
fixed_product_adjust_kr,4,96.54327485407107,0.03107414788378183,3.0,0.03952847075210474,0.039528470918531684,4.2103055976049087e-07,0.04153059819631527,0.04153350690680251,5.065026311709575,5.072384389477687,0.007003777006755009,0.0018842457727796132,126.49110640673516,126.58522142606807,0.07440445578070035,1.2739330167887757e-05,1.274880879716928e-05,0.07440445578070501
fixed_product_adjust_kr,5,99.91750400003691,0.03002476923361588,3.0,0.04330127018922194,0.04330126920243638,-2.2788836416853396e-06,0.045494491372448015,0.04549585610109172,5.065027362111856,5.06818146229271,0.0029997667905154826,0.0008052261631568186,138.56406460551017,138.60826150780284,0.031896366795024673,1.39552370009164e-05,1.3959688214497326e-05,0.03189636679502281
fixed_product_adjust_kr,6,102.46531040146915,0.029278201454186838,3.0,0.04677071733467427,0.04677071725623946,-1.6770068681620187e-07,0.04913966711637078,0.04914038034668163,5.065027685475003,5.066552812221519,0.0014514349663054982,0.0003902893307608725,149.66629547095764,149.68938105011168,0.015424701387442157,1.507337873129436e-05,1.507570375495266e-05,0.015424701387435633
fixed_product_adjust_kr,7,104.45011071971608,0.028721846050027384,3.0,0.05000000000000001,0.049999999740091214,-5.198175917486835e-07,0.05253251362119222,0.05253291722953763,5.065027242384417,5.065835005225934,0.0007683019859322594,0.00020627997338354192,160.0,160.01307108007552,0.008169425047199752,1.611411967816822e-05,1.6115436109097342e-05,0.008169425047194218
fixed_product_adjust_kr,8,106.03692390659916,0.028292031581777115,3.0,0.05303300858899107,0.05303300801362802,-1.0849149693363612e-06,0.05571914443833085,0.05571938741497266,5.0650263313505155,5.065485632371287,0.00043607389212961745,0.00011650311232378277,169.70562748477138,169.71351003355485,0.004644836414854867,1.70916049459265e-05,1.709239882301691e-05,0.004644836414857987
fixed_product_adjust_kr,9,107.33309064732485,0.02795037375619232,3.0,0.05590169943749474,0.05590169982259557,6.888893005095185e-07,0.05873313467224152,0.05873328938407575,5.065025327025495,5.065301360184491,0.0002634149106735435,7.13575203120564e-05,178.88543819998316,178.8904348159251,0.002793193225905961,1.8016133498975585e-05,1.801663672439605e-05,0.0027931932259093657
fixed_product_adjust_kr,10,108.41100897957408,0.02767246636884669,3.0,0.058630196997792865,0.058630197075088826,1.3183643456144325e-07,0.0615998308587248,0.06159993295854714,5.065024531716529,5.065198535244417,0.0001657469199450852,4.467933455606224e-05,187.6166303929372,187.61993373890508,0.0017606893168055863,1.889548022354027e-05,1.8895812914241924e-05,0.0017606893168034682
fixed_product_adjust_kr,11,109.32109627016571,0.027442095829208358,3.0,0.06123724356957945,0.06123724283082022,-1.2063887666071995e-06,0.06433892472087276,0.06433899390158268,5.065024110317915,5.065138349438182,0.00010752543693370443,2.8040523183365065e-05,195.95917942265424,195.96144225661823,0.001154747621749177,1.973568543282681e-05,1.973591333018498e-05,0.0011547476217454522
fixed_product_adjust_kr,12,110.0994645382425,0.027248088921976228,3.0,0.06373774391990981,0.06373774398451364,1.0135881554415401e-07,0.06696607599934691,0.06696612524264225,5.065024082894562,5.0651012356399345,7.353468843635158e-05,1.98536055653352e-05,203.96078054371137,203.96237299204188,0.0007807620299685364,2.0541552670837306e-05,2.0541713051480927e-05,0.0007807620299730635
fixed_product_adjust_kr,13,110.7726292718171,0.027082502417077353,3.0,0.06614378277661477,0.0661437827149318,-9.325587636890344e-08,0.0694939814853466,0.06949401697575631,5.065024357688087,5.065078112123455,5.106976021481465e-05,1.3668675441303315e-05,211.66010488516721,211.66125573898128,0.0005437273191808202,2.131697663258264e-05,2.1317092538808213e-05,0.00054372731917079
fixed_product_adjust_kr,14,111.36046947029897,0.026939541600981956,3.0,0.06846531968814577,0.06846531947638468,-3.0929687575411485e-07,0.07193310510029098,0.07193313116993014,5.065024786184745,5.0650631882928545,3.62415039909633e-05,9.522210856367112e-06,219.08902300206645,219.0898732904267,0.0003881017627462608,2.2065167105176555e-05,2.2065252740479044e-05,0.00038810176274990866
fixed_product_adjust_kr,15,111.87817521665072,0.026814881402834258,3.0,0.07071067811865475,0.07071067804235172,-1.0790878459421369e-07,0.07429219179866092,0.07429221149331348,5.0650252200895,5.065053185908681,2.6509720718631246e-05,7.051754371391464e-06,226.2741699796952,226.27480961191176,0.0002826801736287397,2.278880659456867e-05,2.278887101400672e-05,0.00028268017362688706
fixed_product_adjust_kr,16,112.33754829486087,0.026705229422718687,3.0,0.07288689868556626,0.07288689826013513,-5.836867015023201e-07,0.0765786387288335,0.07657865349061294,5.065025553074202,5.065046419319208,1.9276628159952805e-05,4.758380367546513e-06,233.23807579381202,233.2385664903334,0.00021038439787841209,2.3490164167794732e-05,2.3490213587435177e-05,0.00021038439787728864
fixed_product_adjust_kr,17,112.74789117137499,0.026608036468194762,3.0,0.075,0.07499999886467516,-1.5137664455266986e-06,0.07879876930374437,0.07879878008469196,5.0650257383258275,5.065041703361965,1.3681619254020246e-05,2.5735186086889514e-06,239.99999999999997,240.00038376500336,0.00015990208474647718,2.4171179517252327e-05,2.4171218167472284e-05,0.00015990208475061103
