parameterization,ell,z_m,kr_bg_m-1,w0_bg_m,lg_r_rms_m,bg_r_rms_m,relative_difference_percent
fixed_w0_adjust_kr,11,0.0,181.7915318894276,0.04,0.06123724356957945,0.0612372432220947,-5.674402194688609e-07
fixed_w0_adjust_kr,11,62.5,181.7915318894276,0.04,0.06124966508946188,0.0612498288987158,0.00026744514224848003
fixed_w0_adjust_kr,11,125.0,181.7915318894276,0.04,0.06128691454368524,0.061287570421431244,0.0010701758293535158
fixed_w0_adjust_kr,11,187.5,181.7915318894276,0.04,0.06134894672015748,0.061350421403687565,0.002403763404145727
fixed_w0_adjust_kr,11,250.0,181.7915318894276,0.04,0.06143568651150491,0.06143830466672743,0.004261619542621928
fixed_w0_adjust_kr,11,312.5,181.7915318894276,0.04,0.06154702945393297,0.061551113134912135,0.0066350578011575186
fixed_w0_adjust_kr,11,375.0,181.7915318894276,0.04,0.061682842466044614,0.061688710096047754,0.009512580433318464
fixed_w0_adjust_kr,11,437.5,181.7915318894276,0.04,0.061842964161857736,0.06185093005883107,0.012880845996459526
fixed_w0_adjust_kr,11,500.0,181.7915318894276,0.04,0.06202720619663282,0.06203757932866589,0.016723519676482168
fixed_w0_adjust_kr,11,562.5,181.7915318894276,0.04,0.06223535470343365,0.06224843934668355,0.021024453563818712
fixed_w0_adjust_kr,11,625.0,181.7915318894276,0.04,0.06246717008487848,0.06248326368125328,0.025763287104139703
fixed_w0_adjust_kr,11,687.5,181.7915318894276,0.04,0.06272239073996327,0.06274178423929046,0.03091957927366883
fixed_w0_adjust_kr,11,750.0,181.7915318894276,0.04,0.06300073189069656,0.06302370935553431,0.03647174270548153
fixed_w0_adjust_kr,11,812.5,181.7915318894276,0.04,0.06330188830083792,0.06332872579042324,0.042396033208006625
fixed_w0_adjust_kr,11,875.0,181.7915318894276,0.04,0.06362553626728186,0.06365650260769606,0.04866967295036837
fixed_w0_adjust_kr,11,937.5,181.7915318894276,0.04,0.06397133386030679,0.06400668811390782,0.05526577525838828
fixed_w0_adjust_kr,11,1000.0,181.7915318894276,0.04,0.06433892472087276,0.06437891831582593,0.06216080720447205
fixed_w0_adjust_kr,12,0.0,189.09915945858114,0.04,0.06373774391990981,0.06373774462819579,1.1112504584883949e-06
fixed_w0_adjust_kr,12,62.5,189.09915945858114,0.04,0.06375067264763855,0.06375083064188924,0.00024783150378593555
fixed_w0_adjust_kr,12,125.0,189.09915945858114,0.04,0.06378944310860128,0.06379007257603712,0.0009867893575593032
fixed_w0_adjust_kr,12,187.5,189.09915945858114,0.04,0.06385400824949714,0.06385542224693548,0.002214422362995593
fixed_w0_adjust_kr,12,250.0,189.09915945858114,0.04,0.06394428988128588,0.06394679949893532,0.0039246939079351836
fixed_w0_adjust_kr,12,312.5,189.09915945858114,0.04,0.06406017929590876,0.06406409308804029,0.0061095553814212895
fixed_w0_adjust_kr,12,375.0,189.09915945858114,0.04,0.06420153797306873,0.06420716105287935,0.00875848147591942
fixed_w0_adjust_kr,12,437.5,189.09915945858114,0.04,0.06436819794400113,0.06437583152465162,0.011859242443192137
fixed_w0_adjust_kr,12,500.0,189.09915945858114,0.04,0.0645599630861702,0.06456990315743724,0.01539664955164309
fixed_w0_adjust_kr,12,562.5,189.09915945858114,0.04,0.06477661092785071,0.0647891489866911,0.019355842580817472
fixed_w0_adjust_kr,12,625.0,189.09915945858114,0.04,0.06501789204285134,0.06503331317029011,0.023718282697639353
fixed_w0_adjust_kr,12,687.5,189.09915945858114,0.04,0.06528353418758899,0.06530211723328519,0.028465134321315904
fixed_w0_adjust_kr,12,750.0,189.09915945858114,0.04,0.06557324082603715,0.06559525783937561,0.033576216549794355
fixed_w0_adjust_kr,12,812.5,189.09915945858114,0.04,0.06588669420050841,0.0659124097587533,0.03902997191911311
fixed_w0_adjust_kr,12,875.0,189.09915945858114,0.04,0.06622355793999858,0.06625322986159939,0.04480568928007252
fixed_w0_adjust_kr,12,937.5,189.09915945858114,0.04,0.06658347539047504,0.06661735154583528,0.05087772177942933
fixed_w0_adjust_kr,12,1000.0,189.09915945858114,0.04,0.06696607599934691,0.06700439764803233,0.05722546545177964
fixed_w0_adjust_kr,13,0.0,196.13523261187987,0.04,0.06614378277661477,0.06614378277971047,4.680264899508974e-09
fixed_w0_adjust_kr,13,62.5,196.13523261187987,0.04,0.06615719955219249,0.06615735076749174,0.00022856967991086245
fixed_w0_adjust_kr,13,125.0,196.13523261187987,0.04,0.06619743356320146,0.06619803804542232,0.000913150538207211
fixed_w0_adjust_kr,13,187.5,196.13523261187987,0.04,0.06626443597694444,0.06626579468200737,0.0020504287751038916
fixed_w0_adjust_kr,13,250.0,196.13523261187987,0.04,0.0663581256623323,0.06636053769390468,0.003634869954963295
fixed_w0_adjust_kr,13,312.5,196.13523261187987,0.04,0.06647838978801467,0.06648215173225257,0.005658897951495424
fixed_w0_adjust_kr,13,375.0,196.13523261187987,0.04,0.06662508462561433,0.06663048985354408,0.008112902160097713
fixed_w0_adjust_kr,13,437.5,196.13523261187987,0.04,0.06679803584204429,0.06680537392883183,0.010985482873923409
fixed_w0_adjust_kr,13,500.0,196.13523261187987,0.04,0.06699703997693864,0.06700659557736072,0.01426272030133071
fixed_w0_adjust_kr,13,562.5,196.13523261187987,0.04,0.06722186602121169,0.06723391917912111,0.017930412561912946
fixed_w0_adjust_kr,13,625.0,196.13523261187987,0.04,0.0674722552997068,0.06748708020482438,0.021971853544449443
fixed_w0_adjust_kr,13,687.5,196.13523261187987,0.04,0.06774792525734222,0.0677657901037336,0.026369584490624473
fixed_w0_adjust_kr,13,750.0,196.13523261187987,0.04,0.06804856798993646,0.06806973417947443,0.0311045333696102
fixed_w0_adjust_kr,13,812.5,196.13523261187987,0.04,0.06837385382156252,0.0683985757766696,0.03615703039293321
fixed_w0_adjust_kr,13,875.0,196.13523261187987,0.04,0.06872343391755117,0.0687519595492048,0.04150786715320791
fixed_w0_adjust_kr,13,937.5,196.13523261187987,0.04,0.06909693801607351,0.0691295056432921,0.04713324230229116
fixed_w0_adjust_kr,13,1000.0,196.13523261187987,0.04,0.0694939814853466,0.06953082339684293,0.05301453551641316
fixed_w0_adjust_kr,14,0.0,202.92788735516524,0.04,0.06846531968814577,0.06846531969266156,6.595734219701999e-09
fixed_w0_adjust_kr,14,62.5,202.92788735516524,0.04,0.06847920737146497,0.06847935316698374,0.00021290479893853632
fixed_w0_adjust_kr,14,125.0,202.92788735516524,0.04,0.06852085353304063,0.06852143634526997,0.000850561835248131
fixed_w0_adjust_kr,14,187.5,202.92788735516524,0.04,0.06859020761808177,0.06859151760028996,0.0019098676818253765
fixed_w0_adjust_kr,14,250.0,202.92788735516524,0.04,0.06868718567233355,0.06868951123294213,0.003385727025822094
fixed_w0_adjust_kr,14,312.5,202.92788735516524,0.04,0.06881167086171339,0.06881529789562994,0.005270957486042149
fixed_w0_adjust_kr,14,375.0,202.92788735516524,0.04,0.06896351444326368,0.06896872584721635,0.007556755183866641
fixed_w0_adjust_kr,14,437.5,202.92788735516524,0.04,0.0691425359146585,0.06914961082407521,0.01023235454574136
fixed_w0_adjust_kr,14,500.0,202.92788735516524,0.04,0.06934852487502866,0.06935773793764359,0.013285160184066907
fixed_w0_adjust_kr,14,562.5,202.92788735516524,0.04,0.06958124186738655,0.06959286283611178,0.016701295368336554
fixed_w0_adjust_kr,14,625.0,202.92788735516524,0.04,0.06984041943690673,0.06985471276873212,0.02046570158172897
