order,psd,regime,lg_beam,bg_beam,r_rms_lg_m,r_rms_bg_m,r_rms_bg_minus_lg_percent,metric,metric_lg,metric_bg,metric_bg_minus_lg_percent
1,modified_von_karman,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.2209121572168634,0.2108024741051338,-4.5763362411083515
1,modified_von_karman,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,3.2680678368061216,3.277228062945486,0.28029485912743174
1,modified_von_karman,moderate,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.3628537987661105,0.3643681721393145,0.4173508389201461
1,modified_von_karman,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,retention,0.0543742781891592,0.0526719360150357,-3.1307857884592667
1,modified_von_karman,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,spread,11.9420452438669,11.994787149850218,0.44164885416427824
1,modified_von_karman,strong,LG01,BG01,0.0254263,0.0254144,-0.04680193343112729,entropy,0.5998230287488553,0.60018963777778,0.061119532154243476
2,kolmogorov,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.5791662406670641,0.578165173498747,-0.17284625691652275
2,kolmogorov,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,1.5840787919721833,1.5839041316126077,-0.011025989392745544
2,kolmogorov,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.1942068823328573,0.1939372840580332,-0.13882014457243433
2,kolmogorov,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.1461687410397499,0.1401899386715381,-4.090342658548241
2,kolmogorov,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,5.055420028148731,5.081766421294617,0.5211514176703086
2,kolmogorov,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.4154847917110154,0.4179689148946476,0.5978854661327826
2,kolmogorov,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.0366582675657652,0.0357989335625968,-2.344175162197035
2,kolmogorov,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,18.22804769788284,18.247717614375613,0.10791016579936995
2,kolmogorov,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.6611948235304003,0.6616404066763008,0.06739059805721521
2,von_karman,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.6416526826993793,0.6453704321616851,0.5794021536176848
2,von_karman,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,1.5382659052237186,1.5342292566226117,-0.2624155282515932
2,von_karman,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.1776711560811618,0.1761905670589047,-0.8333311128907964
2,von_karman,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.1594015983336744,0.1601273267111762,0.45528299909680064
2,von_karman,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,4.928275598552637,4.916344700187742,-0.24209072983659533
2,von_karman,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.4070835767397427,0.4050373669322648,-0.502651033938941
2,von_karman,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.0384760501240102,0.0383662620335156,-0.2853413750651431
2,von_karman,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,17.567682701372718,17.55466351100818,-0.07410875176793205
2,von_karman,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.654051164437095,0.6542104929996663,0.02436025975252358
2,modified_von_karman,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.6485279124736117,0.6498898608841126,0.2100061360976925
2,modified_von_karman,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,1.2441694676723625,1.2416729885665845,-0.20065426540714726
2,modified_von_karman,weak,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.1746381746452792,0.1733200491552296,-0.7547751187430423
2,modified_von_karman,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.1645885476695808,0.1635904463268645,-0.6064221094653779
2,modified_von_karman,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,3.975041990581993,3.971341674494129,-0.09308872954376947
2,modified_von_karman,moderate,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.3975460899952064,0.3962956968565818,-0.3145278422030777
2,modified_von_karman,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,retention,0.0411219187754417,0.0409209820700947,-0.48863650172616874
2,modified_von_karman,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,spread,13.929620429810855,13.902848518065252,-0.19219412244937306
2,modified_von_karman,strong,LG02,BG02,0.0311407,0.0311607,0.06422463207313639,entropy,0.630239600273858,0.6298448849846848,-0.06262940142155526
3,kolmogorov,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.5277183863597548,0.5163286376005541,-2.1583005355883196
3,kolmogorov,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,1.802341151356697,1.807697188157666,0.297171087556724
3,kolmogorov,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.2116554353082144,0.2135779327439707,0.9083147016549472
3,kolmogorov,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.1189985841380904,0.1126975385400769,-5.295059301463231
3,kolmogorov,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,5.765970342130025,5.801543508776905,0.6169502188895843
3,kolmogorov,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.4401802906356655,0.4420856104339097,0.43284986601574826
