family,psd,regime,order_initial,order_final,beam_initial,beam_final,r_rms_initial_m,r_rms_final_m,r_rms_change_percent,metric,metric_initial,metric_final,metric_change_percent
LG,modified_von_karman,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.7237132635755292,0.6485279124736117,-10.388831445545406
LG,modified_von_karman,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,1.0185945781863393,1.2441694676723625,22.145699016744334
LG,modified_von_karman,weak,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.1473504175804845,0.1746381746452792,18.518954688329814
LG,modified_von_karman,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.6485279124736117,0.5868052911498122,-9.517342297323408
LG,modified_von_karman,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,1.2441694676723625,1.441757521285322,15.881120598676514
LG,modified_von_karman,weak,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.1746381746452792,0.1946542264367067,11.461441252511731
LG,modified_von_karman,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.2209121572168634,0.1645885476695808,-25.49593026335406
LG,modified_von_karman,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,3.2680678368061216,3.975041990581993,21.632786988497653
LG,modified_von_karman,moderate,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.3628537987661105,0.3975460899952064,9.560955775319846
LG,modified_von_karman,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.1645885476695808,0.1363877283333409,-17.134132195427338
LG,modified_von_karman,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,3.975041990581993,4.581998260902133,15.269178835297655
LG,modified_von_karman,moderate,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.3975460899952064,0.4216544361852775,6.064289599820179
LG,modified_von_karman,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,retention,0.0543742781891592,0.0411219187754417,-24.37247878052692
LG,modified_von_karman,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,spread,11.9420452438669,13.929620429810855,16.643507417330525
LG,modified_von_karman,strong,1,2,LG01,LG02,0.0254263,0.0311407,22.474367092341403,entropy,0.5998230287488553,0.630239600273858,5.0709242671871495
LG,modified_von_karman,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,retention,0.0411219187754417,0.034308328974087,-16.569240940731163
LG,modified_von_karman,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,spread,13.929620429810855,15.58794885543482,11.90505106711284
LG,modified_von_karman,strong,2,3,LG02,LG03,0.0311407,0.0359582,15.470108250617367,entropy,0.630239600273858,0.6516521419543183,3.3975240005794576
BG,kolmogorov,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.6699064169035029,0.578165173498747,-13.694635711777469
BG,kolmogorov,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,1.315627682233015,1.5839041316126077,20.391517524490435
BG,kolmogorov,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.163622510453848,0.1939372840580332,18.52726346766076
BG,kolmogorov,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.578165173498747,0.5163286376005541,-10.69530624336833
BG,kolmogorov,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,1.5839041316126077,1.807697188157666,14.129204670816135
BG,kolmogorov,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.1939372840580332,0.2135779327439707,10.127319654564348
BG,kolmogorov,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.1920786259347928,0.1401899386715381,-27.014295323452583
BG,kolmogorov,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,4.2409252462721305,5.081766421294617,19.826833207248935
BG,kolmogorov,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.3831968255380861,0.4179689148946476,9.074211224932368
BG,kolmogorov,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.1401899386715381,0.1126975385400769,-19.610822568283783
BG,kolmogorov,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,5.081766421294617,5.801543508776905,14.16391521786866
BG,kolmogorov,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.4179689148946476,0.4420856104339097,5.769973478850911
BG,kolmogorov,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.0469086876029331,0.0357989335625968,-23.683787818531144
BG,kolmogorov,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,16.07935218074547,18.247717614375613,13.485402951909306
BG,kolmogorov,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.6323440214909913,0.6616404066763008,4.632982077735479
